Paper_ID,Title,Year,Category,Research_Problem,Methodology,Dataset,Results,Key_Findings,Limitations,Future_Work,Research_Gap,PreFlight_Relevance,Priority
P01,LLM and AI Agents for Autonomous Systems (Survey),2026,AIS,How can LLMs and AI agents be safely integrated into UAV and autonomous driving systems?,Systematic survey; PRISMA-inspired review of 100+ papers across UAV/AD domains,"nuScenes, WaymoOpen, CARLA, AirSim, STS-Bench, DriveLM, UAV-ON","First unified cross-domain survey covering reasoning, agents, benchmarks, and security",LLM reasoning + agentic autonomy are complementary; adversarial risks are underexplored in ITS models,Simulation-heavy; lacks real-world validation; no closed-loop security evaluation,Hybrid validation frameworks; agent-in-the-loop benchmarks; secure multi-agent coordination,No joint attack-path analysis for LLM-agent tool use in safety-critical domains,Background on LLM-agent security challenges applicable to PreFlight threat modeling,Tier 3
P02,AI Agents Under Threat: A Survey of Key Security Challenges (ACM CSUR),2025,AS,What are the core security challenges and threat categories for AI agents?,Structured literature survey; threat taxonomy across four knowledge gaps in AI agent security,N/A (survey),"Taxonomy of threats: prompt injection, backdoor, adversarial, privacy leakage, data poisoning","Four knowledge gaps: perception, memory, action, communication; no unified defense framework exists",Taxonomy not empirically validated; rapidly evolving threat landscape,Formal threat models per knowledge gap; cross-layer defenses; standardized evaluation,Unified threat taxonomy for AI agents is absent from existing literature,Core threat taxonomy directly informs PreFlight's threat model classification,Tier 1
P03,Multi-Agent Security: A Survey (2026),2026,MAS,"What are the security threats, attack surfaces, and governance mechanisms for multi-agent AI systems?",Comprehensive survey; CVE analysis; governance graph modeling; covert collusion analysis,CVE-2025-53109; CVE-2025-53110; real MCP deployment data,"Covers MCP CVEs, weakest-link dynamics, covert collusion, governance graphs",Multi-agent systems exhibit emergent attack surfaces; weakest-link agent compromises full pipeline,Survey breadth limits depth per topic; limited empirical validation,Per-agent capability manifests; cross-agent trust protocols; formal verification of MAS security,No permission-graph-conditioned multi-agent attack path analysis,Directly informs PreFlight's multi-server MCP analysis and inter-agent attack surface modeling,Tier 1
P04,Not What You've Signed Up For: Compromising Real-World LLM-Integrated Applications with Indirect Prompt Injection,2023,PI,Can indirect prompt injections via retrieved data compromise real-world LLM-integrated applications?,"Empirical attack study; indirect injection via web content, emails, documents; real-world app testing","Real-world LLM applications (Bing Chat, code assistants, email clients)","Successful exfiltration, CSRF, persistent attacks demonstrated; high real-world impact",LLMs cannot distinguish instruction from data; indirect injection is practical and dangerous,Limited systematic evaluation; no formal threat model or defense evaluation,"Defenses based on structured queries, privilege separation; formal data-instruction separation",No systematic tool-level permission analysis accompanying the injection vectors,Attack vector taxonomy is essential input to PreFlight's dynamic simulation engine,Tier 1
P05,The Instruction Hierarchy: Training LLMs to Prioritize Privileged Instructions,2024,TP,Can LLMs be trained to follow a strict priority ordering of instructions to resist injection?,Fine-tuning and RLHF-based instruction hierarchy enforcement; synthetic data generation,Custom synthetic dataset of privilege-violation and compliance scenarios,Models trained with hierarchy show improved resistance; 63% reduction in instruction override,Hierarchy training degrades some benign instruction-following; trade-off exists,No formal guarantee; adaptive attackers can still circumvent hierarchy,Stronger hierarchy enforcement; formal verification; multi-level trust architectures,Gap between declarative permission models and LLM enforcement fidelity,"Informs PreFlight's trust-level modeling between user, system, and tool instructions",Tier 1
P06,AgentDojo: A Dynamic Environment to Evaluate Prompt Injection Attacks and Defenses for LLM Agents (NeurIPS 2024),2024,PI,How can we rigorously benchmark prompt injection attacks and defenses in realistic tool-calling agent scenarios?,Dynamic benchmarking framework; 97 tasks; 629 security test cases; 4 environments; 10 LLMs evaluated,"AgentDojo synthetic benchmark (Workspace, Slack, Travel, Banking); 74 tools; 27 injection targets",Best agents solve <66% of benign tasks; targeted ASR up to 47.7% (GPT-4o); tool-filter defense reduces ASR to 6.8%,More capable models are easier to attack (inverse scaling); tool isolation is most effective defense,Simulated environments; static injection text; no multi-hop or cross-server attacks,Adaptive attacks; multimodal support; automated task specification; stronger isolation mechanisms,No permission-graph-conditioned injection scenario design; no cross-server attack paths,Primary benchmark for PreFlight's dynamic simulation evaluation baseline; direct comparison target,Tier 1
P07,Emerging Threats in Agentic AI: A Comprehensive Attack Taxonomy,2025,AS,What is a comprehensive taxonomy of attack vectors targeting agentic AI systems?,Systematic taxonomy construction; threat classification across agent lifecycle stages,N/A (taxonomy paper),"Covers 12 attack classes: prompt injection, goal hijacking, memory poisoning, tool misuse, etc.",Attack surface expands with agent capability; agentic attacks differ fundamentally from LLM attacks,Taxonomy not empirically validated; limited mapping to defenses,Empirical validation of each attack class; formal attack models,Taxonomy lacks coverage of permission-graph topology as an attack amplifier,Directly informs PreFlight's attack classification and risk scoring rubric,Tier 1
P08,Defending Against Indirect Prompt Injection Attacks with Spotlighting,2024,PI,Can structural formatting (spotlighting) reliably defend against indirect prompt injection?,Defense design; spotlighting via XML delimiters and repeat-instruction techniques; ablation studies,"Custom injection scenarios (email, web search, calendar)",Spotlighting reduces ASR by ~73% in tested scenarios; marginal utility degradation,Structural defenses improve robustness but are not foolproof against adaptive attacks,Not robust to adaptive attackers who are aware of spotlighting; limited task coverage,Combination with semantic defenses; formal robustness guarantees,Structural defense alone insufficient for tool-permission-aware injection scenarios,Informs PreFlight's defense recommendation module for tool output sandboxing,Tier 2
P09,Formalizing and Benchmarking Prompt Injection Attacks and Defenses,2023,PI,How can prompt injection attacks and defenses be formally defined and benchmarked?,Formal threat model; attack/defense taxonomy; benchmark construction; empirical evaluation,"Custom benchmark: document QA, goal hijacking, instruction override scenarios",Formalization enables systematic comparison; existing defenses provide modest protection,"Clear formalization of injection attacker goals, capabilities, and success criteria",Limited to single-turn scenarios; no tool-calling integration,Multi-turn agentic benchmarks; integration with tool-call environments,Formal injection model lacks permission-topology conditioning,PreFlight can adopt this formalization as theoretical grounding for its injection threat model,Tier 2
P10,InjecAgent: Benchmarking Indirect Prompt Injections in Tool-Integrated LLM Agents,2024,PI,How vulnerable are tool-integrated LLM agents to indirect prompt injection via tool outputs?,Benchmark construction; single-turn adversarial tool output injection; 17 tools; 1054 test cases,InjecAgent benchmark (1054 test cases; 17 tool types; 2 attack strategies),GPT-4-Turbo: 24% direct harm rate; enhanced attack: up to 48%; open-source models worse,Tool-integrated agents are highly vulnerable; enhanced attacks with API knowledge are more effective,Single-turn only; no stateful multi-hop attacks; limited tool diversity,Multi-turn agentic evaluation; defenses for indirect injection in multi-tool chains,Gap: no permission-scope conditioning on which tools the injection can exploit,Direct source for PreFlight's attack simulation adversary design in single-tool injection scenarios,Tier 1
